#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-12-10T05:56:13 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5fd1ae19b206	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/A+A/632/A77&tab:{J/A+A/632/A77/3hsp-v9}&key:source=J/A+A/632/A77/3hsp-v9&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/632/A77/3hsp-v9
#-order=I
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=sflag
#-out=BZCat
#-out=lognu
#-out=lognufnu
#-out=f_lognu
#-out=z
#-out=f_z
#-out=Gamma
#-out=FOM
#-out=WHSP
#

#RESOURCE=yCat_36320077
#Name: J/A+A/632/A77
#Title: 3HSP blazars catalog (Chang+, 2019)
#Table	J_A_A_632_A77_3hsp-v9:
#Name: J/A+A/632/A77/3hsp-v9
#Title: The 3HSP catalog (table 1)
#Column	_RAJ2000	(A13)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A13)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(A20)	Designation (3HSPJHHMMSS.s+DDMMSS)	[ucd=meta.id;phys.atmol.configuration]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	sflag	(I1)	[0/4] Source Flag (1)	[ucd=meta.code]
#Column	BZCat	(A14)	BZCat counterpart (5BZ[BGU]JHHMMSS.s+DDMMSS)	[ucd=meta.id.cross]
#Column	lognu	(F4.1)	Log Synchrotron peak frequency	[ucd=em.freq;stat.max]
#Column	lognufnu	(F5.1)	Log Synchrotron peak flux (erg/cm^2^/s)	[ucd=phot.flux.density;em.gamma.hard]
#Column	f_lognu	(I1)	[1/3] Synchrotron peak estimation flag (G1)	[ucd=meta.code]
#Column	z	(F7.4)	? Redshift	[ucd=src.redshift]
#Column	f_z	(I1)	[0/5]? Redshift flag (G1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(A18)	Fermi gamma-ray counterpart	[ucd=meta.id.cross]
#Column	FOM	(F5.2)	Figure of Merit (G2)	[ucd=meta.code.qual]
#Column	WHSP	(A21)	2WHSP counterpart (2WHSPJHHMMSS.s+DDMMSS)	[ucd=meta.id.cross]
_RAJ2000|_DEJ2000|Name|RAJ2000|DEJ2000|sflag|BZCat|lognu|lognufnu|f_lognu|z|f_z|Gamma|FOM|WHSP
03 08 16.8408|-28 51 05.688|3HSPJ030816.8-285105|047.07017|-28.85158|0|              |15.7|-12.2|1| 0.2900|5|4FGL J0308.1-2852 | 0.25|
03 09 26.0496|-39 59 27.816|3HSPJ030926.0-395927|047.35854|-39.99106|0|              |16.0|-12.3|1| 0.2400|5|4FGL J0309.4-4000 | 0.20|2WHSPJ030925.9-395926
03 10 34.6992|-50 16 31.008|3HSPJ031034.7-501631|047.64458|-50.27528|0|              |16.2|-11.7|1| 0.2600|5|4FGL J0310.6-5017 | 0.79|2WHSPJ031034.6-501631
03 11 03.2592|-44 02 27.996|3HSPJ031103.3-440228|047.76358|-44.04111|0|              |17.4|-11.7|1| 0.3500|5|4FGL J0311.5-4402 | 0.79|2WHSPJ031103.1-440227
03 12 05.3688|+31 21 15.984|3HSPJ031205.4+312116|048.02237|+31.35444|1|              |16.2|-12.3|1| 0.3200|5|                  | 0.20|2WHSPJ031205.2+312115
03 12 34.1496|-32 23 17.016|3HSPJ031234.1-322317|048.14229|-32.38806|0|              |15.3|-11.8|1| 0.0670|1|4FGL J0312.4-3221 | 0.63|
03 12 35.7000|-22 21 17.208|3HSPJ031235.7-222117|048.14875|-22.35478|0|              |16.0|-12.1|1| 0.2800|5|4FGL J0312.5-2221 | 0.32|2WHSPJ031235.6-222116
03 12 50.2896|+36 15 19.584|3HSPJ031250.3+361519|048.20954|+36.25544|0|5BZGJ0312+3615|16.3|-11.7|1| 0.0710|1|4FGL J0312.9+3614 | 0.79|2WHSPJ031250.2+361519
03 13 11.5200|+24 45 33.588|3HSPJ031311.5+244533|048.29800|+24.75933|1|              |15.4|-12.1|1| 0.3500|5|                  | 0.32|2WHSPJ031311.5+244533
03 14 21.9312|-09 54 53.100|3HSPJ031421.9-095453|048.59138|-09.91475|1|              |16.5|-12.2|2| 0.2900|5|                  | 0.25|2WHSPJ031421.8-095452
03 14 23.9088|+06 19 56.604|3HSPJ031423.1+061956|048.59962|+06.33239|0|5BZBJ0314+0619|16.3|-11.6|1| 0.6200|2|4FGL J0314.3+0620 | 1.00|2WHSPJ031423.8+061955
03 14 32.6808|-09 04 46.416|3HSPJ031432.7-090446|048.63617|-09.07956|0|              |16.6|-12.2|1| 0.4000|5|                  | 0.25|2WHSPJ031432.5-090445
03 15 27.1296|-26 44 00.492|3HSPJ031527.1-264400|048.86304|-26.73347|0|              |15.0|-12.6|2| 0.4200|5|4FGL J0315.4-2643 | 0.10|
03 16 12.7296|+09 04 43.212|3HSPJ031612.7+090443|049.05304|+09.07867|0|5BZBJ0316+0904|15.3|-11.2|1| 0.3720|2|4FGL J0316.2+0905 | 2.51|2WHSPJ031612.7+090442
03 16 14.3112|-64 37 31.404|3HSPJ031614.3-643731|049.05963|-64.62539|0|5BZBJ0316-6437|16.4|-11.7|1|       | |4FGL J0316.2-6437 | 0.79|2WHSPJ031614.2-643731
03 16 14.9304|-26 07 57.216|3HSPJ031614.9-260757|049.06221|-26.13256|0|5BZBJ0316-2607|15.9|-11.4|1| 0.4430|1|4FGL J0316.2-2608 | 1.58|2WHSPJ031614.8-260757
03 16 15.1704|-22 47 24.000|3HSPJ031615.2-224724|049.06321|-22.79000|0|              |16.8|-12.5|1| 0.2400|5|                  | 0.13|2WHSPJ031615.1-224723
03 16 33.7488|-22 16 12.792|3HSPJ031633.7-221612|049.14062|-22.27022|0|5BZBJ0316-2216|16.7|-12.1|1| 0.2280|1|                  | 0.32|2WHSPJ031633.7-221611
03 17 46.6008|+20 11 06.900|3HSPJ031746.1+201106|049.44417|+20.18525|1|              |15.7|-12.2|1| 0.2900|5|                  | 0.25|2WHSPJ031746.6+201105
03 17 49.7400|+01 05 14.388|3HSPJ031749.7+010514|049.45725|+01.08733|1|              |16.5|-12.8|2| 0.4360|1|                  | 0.06|2WHSPJ031749.6+010513
03 18 55.5096|+19 08 16.512|3HSPJ031855.1+190816|049.73129|+19.13792|1|              |15.9|-12.3|1| 0.4300|5|                  | 0.20|2WHSPJ031855.5+190816
03 19 16.7400|+19 04 20.712|3HSPJ031916.7+190420|049.81975|+19.07242|0|              |16.0|-12.4|1| 0.4300|5|                  | 0.16|
03 19 51.7992|+18 45 34.596|3HSPJ031951.8+184534|049.96583|+18.75961|0|5BZGJ0319+1845|17.3|-11.3|1| 0.1900|1|4FGL J0319.8+1845 | 2.00|2WHSPJ031951.7+184533
03 20 09.2112|-70 45 33.588|3HSPJ032009.2-704533|050.03838|-70.75933|0|              |17.0|-12.0|3| 0.3700|5|4FGL J0319.4-7045 | 0.40|2WHSPJ032009.1-704533
03 20 38.0304|+11 24 52.308|3HSPJ032038.0+112452|050.15846|+11.41453|0|              |16.8|-12.3|1| 0.3500|5|J032037.9+112451  | 0.20|2WHSPJ032037.9+112451
03 20 56.3808|+04 24 48.384|3HSPJ032056.4+042448|050.23492|+04.41344|0|              |17.9|-11.7|1| 0.4600|5|J032056.2+042447  | 0.79|2WHSPJ032056.2+042447
03 21 02.2104|-04 08 51.792|3HSPJ032102.2-040851|050.25921|-04.14772|0|              |15.9|-12.1|1| 0.4500|5|                  | 0.32|2WHSPJ032102.2-040850
03 21 27.3888|-53 10 55.992|3HSPJ032127.4-531056|050.36412|-53.18222|0|              |16.6|-12.4|1| 0.5000|5|                  | 0.16|2WHSPJ032127.3-531055
03 21 59.9592|+23 36 11.196|3HSPJ032160.0+233611|050.49983|+23.60311|0|5BZBJ0321+2336|15.6|-11.4|1|       | |4FGL J0322.0+2335 | 1.58|2WHSPJ032159.8+233611
03 22 28.3104|-50 45 39.888|3HSPJ032228.3-504539|050.61796|-50.76108|0|              |16.5|-12.8|1| 0.5300|5|                  | 0.06|2WHSPJ032228.3-504538
03 23 43.6104|-01 11 46.104|3HSPJ032343.6-011146|050.93171|-01.19614|0|5BZBJ0323-0111|15.1|-11.7|1| 0.4400|3|4FGL J0323.7-0111 | 0.79|2WHSPJ032343.6-011145
03 23 50.7600|+07 17 37.104|3HSPJ032350.8+071737|050.96150|+07.29364|0|5BZBJ0323+0717|17.0|-11.8|2| 0.3100|1|                  | 0.63|2WHSPJ032350.6+071736
03 23 56.5200|-01 08 33.792|3HSPJ032356.5-010833|050.98550|-01.14272|0|5BZBJ0323-0108|17.5|-11.9|3| 0.3920|1|1FGL J0323.7-0106 | 0.50|2WHSPJ032356.5-010833
03 25 23.5296|-56 35 44.592|3HSPJ032523.5-563544|051.34804|-56.59572|0|              |16.5|-11.8|1| 0.0600|1|4FGL J0325.5-5635 | 0.63|2WHSPJ032523.5-563544
03 25 41.0904|-16 46 16.788|3HSPJ032541.1-164616|051.42121|-16.77133|0|5BZBJ0325-1646|15.6|-11.2|1| 0.2910|1|4FGL J0325.6-1646 | 2.51|2WHSPJ032540.9-164615
03 26 13.9392|+02 25 14.700|3HSPJ032613.9+022514|051.55808|+02.42075|0|5BZBJ0326+0225|15.9|-11.3|1| 0.1470|1|4FGL J0326.2+0225 | 2.00|2WHSPJ032613.9+022514
03 26 47.3496|-34 04 47.784|3HSPJ032647.3-340447|051.69729|-34.07994|0|              |16.2|-12.0|1| 0.5100|5|4FGL J0326.7-3404 | 0.40|2WHSPJ032647.2-340446
03 28 52.6896|-57 16 05.484|3HSPJ032852.7-571605|052.21954|-57.26819|0|              |17.3|-11.9|1| 0.4800|3|4FGL J0328.8-5715 | 0.50|2WHSPJ032852.6-571605
03 30 50.0400|-24 06 11.808|3HSPJ033050.0-240611|052.70850|-24.10328|0|              |16.5|-12.1|2| 0.4300|5|4FGL J0330.7-2408 | 0.32|
03 31 18.4800|-61 55 28.704|3HSPJ033118.5-615528|052.82700|-61.92464|0|              |15.7|-11.8|1| 0.2100|5|4FGL J0331.3-6156 | 0.63|2WHSPJ033118.4-615527
03 32 02.3496|-70 39 48.888|3HSPJ033202.3-703948|053.00979|-70.66358|0|              |16.6|-12.2|1| 0.2400|5|                  | 0.25|2WHSPJ033202.2-703947
03 32 23.7696|+82 26 45.096|3HSPJ033223.8+822645|053.09904|+82.44586|1|              |15.7|-12.2|1|       | |4FGL J0333.1+8227 | 0.25|
03 33 12.2592|-36 19 46.704|3HSPJ033312.3-361946|053.30108|-36.32964|0|5BZBJ0333-3619|17.5|-12.1|1| 0.3080|1|                  | 0.32|2WHSPJ033312.1-361945
03 33 49.0008|+29 16 31.512|3HSPJ033349.0+291631|053.45417|+29.27542|0|5BZBJ0333+2916|15.2|-11.2|1|       | |4FGL J0333.7+2916 | 2.51|2WHSPJ033349.0+291631
03 33 56.7408|+65 36 56.088|3HSPJ033356.7+653656|053.48642|+65.61558|0|5BZBJ0333+6536|15.2|-11.5|1| 0.1600|5|4FGL J0333.9+6537 | 1.26|
03 34 15.4200|-37 25 42.996|3HSPJ033415.4-372543|053.56425|-37.42861|0|5BZBJ0334-3725|15.0|-11.1|1| 0.3900|3|4FGL J0334.2-3725 | 3.16|
03 35 13.8792|-44 59 43.800|3HSPJ033513.9-445943|053.80783|-44.99550|0|5BZBJ0335-4459|15.3|-11.7|1|       | |4FGL J0335.1-4459 | 0.79|
03 36 12.8496|-21 31 28.812|3HSPJ033612.8-213128|054.05354|-21.52467|0|              |16.6|-12.3|1| 0.3500|5|                  | 0.20|2WHSPJ033612.7-213127
03 36 23.7912|-03 47 38.616|3HSPJ033623.8-034738|054.09913|-03.79406|0|5BZBJ0336-0347|17.3|-11.9|1| 0.1620|1|4FGL J0336.5-0348 | 0.50|2WHSPJ033623.7-034738
03 38 12.5304|-24 43 50.016|3HSPJ033812.5-244350|054.55221|-24.73056|0|5BZBJ0338-2443|16.5|-12.2|2| 0.2510|1|4FGL J0338.1-2443 | 0.25|2WHSPJ033812.4-244350
03 38 29.2704|+13 02 15.504|3HSPJ033829.3+130215|054.62196|+13.03764|4|              |15.8|-11.5|1|       | |4FGL J0338.5+1302 | 1.26|2WHSPJ033829.2+130214
03 38 32.0208|-57 04 48.792|3HSPJ033832.0-570448|054.63342|-57.08022|0|              |16.6|-12.1|1| 0.3000|5|4FGL J0338.7-5706 | 0.32|2WHSPJ033831.9-570447
03 38 51.9096|-53 24 25.308|3HSPJ033851.1-532425|054.71629|-53.40703|0|              |16.0|-12.5|1| 0.3700|5|                  | 0.13|2WHSPJ033851.9-532424
03 38 59.5992|-28 46 19.884|3HSPJ033859.6-284619|054.74833|-28.77219|0|              |16.3|-12.2|1| 0.2700|5|4FGL J0338.9-2848 | 0.25|
03 39 13.6992|-17 36 00.792|3HSPJ033913.7-173600|054.80708|-17.60022|0|              |15.6|-11.6|1| 0.0660|1|4FGL J0339.2-1736 | 1.00|
03 40 54.7296|+78 22 58.800|3HSPJ034054.7+782258|055.22804|+78.38300|0|              |15.7|-12.2|1| 0.3100|5|                  | 0.25|2WHSPJ034054.7+782258
03 42 54.1800|-37 07 37.416|3HSPJ034254.2-370737|055.72575|-37.12706|0|              |17.1|-11.8|1| 0.2010|1|                  | 0.63|2WHSPJ034254.1-370736
03 43 23.5008|-76 14 48.192|3HSPJ034323.1-761448|055.84792|-76.24672|1|              |15.1|-12.2|1| 0.2200|5|                  | 0.25|2WHSPJ034323.5-761448
03 44 02.4312|+73 01 14.700|3HSPJ034402.4+730114|056.01013|+73.02075|1|              |16.4|-11.9|1| 0.2800|5|                  | 0.50|2WHSPJ034402.3+730114
03 44 24.9312|+34 30 17.892|3HSPJ034424.9+343017|056.10388|+34.50497|0|              |15.7|-12.7|1|       | |4FGL J0344.4+3432 | 0.08|
03 44 27.3408|-52 35 57.696|3HSPJ034427.3-523557|056.11392|-52.59936|0|              |15.6|-12.2|1|       | |                  | 0.25|2WHSPJ034427.2-523557
03 46 09.4296|-42 05 05.496|3HSPJ034609.4-420505|056.53929|-42.08486|1|              |16.5|-12.4|2| 0.4700|5|                  | 0.16|2WHSPJ034609.4-420504
03 46 56.9400|-13 38 30.516|3HSPJ034656.9-133830|056.73725|-13.64181|0|              |15.4|-11.8|1|       | |                  | 0.63|2WHSPJ034656.8-133830
03 48 19.8600|+60 35 08.592|3HSPJ034819.9+603508|057.08275|+60.58572|0|              |17.5|-11.4|2|       | |4FGL J0348.2+6035 | 1.58|
03 49 23.1792|-11 59 27.204|3HSPJ034923.2-115927|057.34658|-11.99089|0|5BZBJ0349-1159|17.9|-11.0|1| 0.1880|1|4FGL J0349.4-1159 | 3.98|2WHSPJ034923.1-115926
03 49 57.8304|+06 41 26.196|3HSPJ034957.8+064126|057.49096|+06.69061|0|              |17.6|-11.8|1| 0.2600|5|4FGL J0350.0+0640 | 0.63|
03 50 28.3008|-51 44 54.312|3HSPJ035028.0-514454|057.61792|-51.74842|0|              |17.6|-11.7|1| 0.3200|5|4FGL J0350.4-5144 | 0.79|
03 50 51.3192|-28 16 32.808|3HSPJ035051.3-281632|057.71383|-28.27578|0|              |17.5|-12.1|1| 0.4700|5|4FGL J0350.8-2814 | 0.32|2WHSPJ035051.2-281632
03 51 54.5400|-37 03 44.316|3HSPJ035154.5-370344|057.97725|-37.06231|0|5BZBJ0351-3703|17.9|-11.9|1| 0.1650|1|                  | 0.50|2WHSPJ035154.4-370343
03 52 57.4704|-68 31 17.112|3HSPJ035257.5-683117|058.23946|-68.52142|0|              |18.1|-11.0|1| 0.0870|1|4FGL J0353.0-6831 | 3.98|2WHSPJ035257.4-683117
03 53 05.0304|-36 23 08.412|3HSPJ035305.0-362308|058.27096|-36.38567|0|5BZBJ0353-3623|16.8|-11.8|1| 0.3100|5|4FGL J0352.9-3623 | 0.63|2WHSPJ035304.9-362308
03 53 08.4600|+82 56 31.308|3HSPJ035308.5+825631|058.28525|+82.94203|0|              |16.4|-11.8|1| 0.0690|2|4FGL J0353.7+8257 | 0.63|2WHSPJ035308.3+825630
03 53 09.5400|+56 54 30.708|3HSPJ035309.5+565430|058.28975|+56.90853|0|              |16.4|-11.6|1|       | |4FGL J0353.0+5654 | 1.00|
03 55 13.2792|-18 43 08.508|3HSPJ035513.3-184308|058.80533|-18.71903|0|              |15.0|-12.1|3| 0.2800|5|4FGL J0355.1-1841 | 0.32|
03 55 32.7408|-48 51 34.596|3HSPJ035532.7-485134|058.88642|-48.85961|0|              |16.4|-12.8|1| 0.4700|5|                  | 0.06|2WHSPJ035532.6-485133
03 56 10.8912|-13 29 06.000|3HSPJ035610.9-132906|059.04538|-13.48500|0|              |15.7|-12.3|1| 0.3500|5|4FGL J0356.1-1329 | 0.20|
03 57 26.0904|-03 17 59.388|3HSPJ035726.1-031759|059.35871|-03.29983|0|              |17.5|-12.1|3| 0.3000|5|4FGL J0357.2-0319 | 0.32|
03 57 32.9592|-68 09 32.796|3HSPJ035733.0-680932|059.38733|-68.15911|0|              |16.6|-12.4|1| 0.0890|1|FL8Y J0358.0-6807 | 0.16|
03 58 07.2696|-54 51 39.204|3HSPJ035807.3-545139|059.53029|-54.86089|1|              |15.4|-12.3|1|       | |                  | 0.20|2WHSPJ035807.1-545138
03 58 56.1000|-30 54 47.808|3HSPJ035856.0-305447|059.73375|-30.91328|0|5BZBJ0358-3054|16.7|-11.9|1| 0.6500|2|4FGL J0359.0-3053 | 0.50|2WHSPJ035856.1-305447
03 59 23.4792|-02 35 01.788|3HSPJ035923.5-023501|059.84783|-02.58383|0|              |15.5|-12.4|2| 0.3400|5|4FGL J0359.4-0236 | 0.16|
04 01 11.2008|-53 54 58.500|3HSPJ040111.0-535458|060.29667|-53.91625|0|              |16.8|-12.2|1| 0.5900|5|4FGL J0401.0-5353 | 0.25|
04 01 26.3208|-08 01 59.304|3HSPJ040126.3-080159|060.35967|-08.03314|0|              |16.4|-12.3|1| 0.1470|2|                  | 0.20|2WHSPJ040126.2-080159
04 01 28.7208|+81 53 11.904|3HSPJ040128.7+815311|060.36967|+81.88664|0|5BZBJ0401+8153|16.0|-11.9|2| 0.2150|1|                  | 0.50|2WHSPJ040128.6+815311
04 02 54.4296|+64 35 09.996|3HSPJ040254.4+643510|060.72679|+64.58611|0|              |15.3|-12.3|1| 0.3100|5|4FGL J0402.9+6433 | 0.20|
04 03 24.5688|-24 29 47.004|3HSPJ040324.6-242947|060.85237|-24.49639|0|5BZBJ0403-2429|18.0|-11.8|2| 0.3570|1|4FGL J0403.5-2437 | 0.63|
04 09 05.0208|-05 32 35.592|3HSPJ040905.0-053235|062.27092|-05.54322|0|              |16.7|-12.6|1| 0.3460|1|                  | 0.10|2WHSPJ040904.9-053235
04 09 28.5096|+32 02 45.996|3HSPJ040928.1+320246|062.36879|+32.04611|0|              |16.5|-11.4|2| 0.2800|5|4FGL J0409.4+3201 | 1.58|
04 11 12.3696|-39 41 43.800|3HSPJ041112.4-394143|062.80154|-39.69550|0|5BZBJ0411-3941|16.6|-11.7|1| 0.7000|3|J041112.2-394143  | 0.79|2WHSPJ041112.2-394143
04 12 38.4504|-39 26 29.508|3HSPJ041238.5-392629|063.16021|-39.44153|0|              |17.8|-12.2|1| 0.5000|5|J041238.3-392629  | 0.25|2WHSPJ041238.3-392629
04 14 22.6200|-03 50 17.916|3HSPJ041422.6-035017|063.59425|-03.83831|3|              |16.1|-12.7|1| 0.3600|5|                  | 0.08|2WHSPJ041422.6-035017
04 14 58.1208|-53 39 43.884|3HSPJ041458.1-533943|063.74217|-53.66219|0|              |16.9|-11.5|1|       | |4FGL J0414.8-5338 | 1.26|2WHSPJ041458.0-533942
04 16 45.2712|-55 25 29.496|3HSPJ041645.3-552529|064.18863|-55.42486|1|              |15.5|-12.9|2| 0.3300|5|                  | 0.05|2WHSPJ041645.1-552528
04 16 52.4808|+01 05 23.892|3HSPJ041652.5+010523|064.21867|+01.08997|0|5BZBJ0416+0105|16.5|-10.8|1| 0.2870|1|4FGL J0416.9+0105 | 6.31|2WHSPJ041652.3+010522
04 18 55.8600|+13 24 51.408|3HSPJ041855.9+132451|064.73275|+13.41428|0|              |17.8|-12.1|1| 0.2700|5|                  | 0.32|2WHSPJ041855.8+132451
04 19 49.3608|+84 38 35.988|3HSPJ041949.4+843836|064.95567|+84.64333|1|              |16.3|-12.3|1| 0.5000|5|                  | 0.20|2WHSPJ041949.3+843835
04 20 11.0208|-60 15 05.508|3HSPJ042011.0-601505|065.04592|-60.25153|0|              |16.2|-12.1|1| 0.3300|5|4FGL J0420.3-6016 | 0.32|
04 20 13.4304|+40 11 21.192|3HSPJ042013.4+401121|065.05596|+40.18922|0|              |16.1|-11.9|1| 0.1400|5|4FGL J0420.2+4012 | 0.50|
04 20 26.3808|-65 14 00.492|3HSPJ042026.4-651400|065.10992|-65.23347|0|              |15.3|-11.8|1|       | |                  | 0.63|2WHSPJ042026.2-651359
04 21 32.9208|-06 29 03.516|3HSPJ042132.9-062903|065.38717|-06.48431|0|5BZBJ0421-0629|17.0|-11.9|1| 0.3900|1|                  | 0.50|2WHSPJ042132.8-062903
04 22 18.3408|+19 50 54.996|3HSPJ042218.3+195055|065.57642|+19.84861|0|5BZBJ0422+1950|17.5|-11.8|1| 0.5160|1|4FGL J0422.3+1951 | 0.63|2WHSPJ042218.3+195054
04 23 01.2312|-52 27 16.416|3HSPJ042301.2-522716|065.75513|-52.45456|1|              |15.2|-12.5|1|       | |                  | 0.13|2WHSPJ042302.4-522739
04 23 07.9800|-31 59 58.308|3HSPJ042308.0-315958|065.78325|-31.99953|1|              |16.1|-12.5|1| 0.5800|5|                  | 0.13|2WHSPJ042307.9-315957
04 23 44.8992|-54 31 50.196|3HSPJ042344.9-543150|065.93708|-54.53061|1|              |15.5|-12.6|2| 0.2900|5|                  | 0.10|2WHSPJ042344.2-543142
04 25 25.3512|+63 20 01.896|3HSPJ042525.4+632001|066.35563|+63.33386|0|              |17.5|-11.9|2| 0.2700|5|4FGL J0425.3+6319 | 0.50|
04 27 33.3504|-18 30 10.296|3HSPJ042733.4-183010|066.88896|-18.50286|0|              |17.5|-11.8|1| 0.2200|5|                  | 0.63|2WHSPJ042733.2-183010
04 28 50.8392|-38 05 50.316|3HSPJ042850.8-380550|067.21183|-38.09731|3|5BZGJ0428-3805|15.1|-12.7|1| 0.1500|1|                  | 0.08|
04 29 00.1704|-32 36 41.184|3HSPJ042900.2-323641|067.25071|-32.61144|0|5BZBJ0429-3236|16.4|-11.9|1| 0.3400|4|4FGL J0429.3-3238 | 0.50|2WHSPJ042900.1-323641
04 29 58.9296|-30 59 35.196|3HSPJ042958.9-305935|067.49554|-30.99311|0|              |15.8|-11.8|1| 0.2100|5|4FGL J0429.9-3101 | 0.63|
04 30 46.3800|+03 03 37.692|3HSPJ043046.4+030337|067.69325|+03.06047|0|              |15.9|-12.3|1| 0.4300|5|                  | 0.20|2WHSPJ043046.3+030337
04 31 45.0600|+74 03 26.604|3HSPJ043145.1+740326|067.93775|+74.05739|0|              |15.5|-11.8|1|       | |4FGL J0431.8+7403 | 0.63|2WHSPJ043145.0+740325
04 31 54.9312|-65 36 35.784|3HSPJ043154.9-653635|067.97888|-65.60994|0|              |15.9|-12.3|1| 0.3300|5|                  | 0.20|2WHSPJ043154.8-653634
04 33 07.5408|+32 28 40.692|3HSPJ043307.5+322840|068.28142|+32.47797|0|              |15.8|-11.7|1|       | |4FGL J0433.1+3227 | 0.79|2WHSPJ043307.4+322840
04 33 32.8896|-10 42 32.400|3HSPJ043332.9-104232|068.38704|-10.70900|0|              |16.1|-12.2|1| 0.2900|5|                  | 0.25|2WHSPJ043332.8-104232
04 33 44.1312|-57 26 13.200|3HSPJ043344.1-572613|068.43388|-57.43700|0|              |15.0|-12.3|1|       | |4FGL J0433.7-5725 | 0.20|
04 34 40.9800|+09 23 48.588|3HSPJ043441.0+092348|068.67075|+09.39683|0|              |16.1|-11.4|1| 0.2100|5|4FGL J0434.7+0922 | 1.58|
04 35 17.7600|-26 21 22.284|3HSPJ043517.8-262122|068.82400|-26.35619|0|              |16.5|-11.8|1| 0.3100|4|4FGL J0435.4-2623 | 0.63|2WHSPJ043517.7-262121
04 37 26.9088|-46 25 00.192|3HSPJ043726.1-462500|069.36212|-46.41672|0|              |15.3|-11.8|1|       | |                  | 0.63|2WHSPJ043726.8-462500
04 38 37.0704|-73 29 21.588|3HSPJ043837.1-732921|069.65446|-73.48933|0|              |15.6|-12.7|1| 0.1500|5|4FGL J0438.0-7329 | 0.08|
04 38 37.4400|+31 19 39.684|3HSPJ043837.4+311939|069.65600|+31.32769|0|              |15.1|-11.8|1|       | |                  | 0.63|2WHSPJ043837.3+311939
04 39 32.2008|-32 00 52.308|3HSPJ043932.0-320052|069.88417|-32.01453|0|              |15.4|-12.2|1| 0.4000|5|4FGL J0439.4-3202 | 0.25|
04 40 18.6288|-24 59 33.612|3HSPJ044018.6-245933|070.07762|-24.99267|0|5BZBJ0440-2459|17.1|-11.9|1| 0.6000|2|4FGL J0440.2-2458 | 0.50|2WHSPJ044018.6-245932
04 40 50.3688|+27 50 46.896|3HSPJ044050.4+275046|070.20987|+27.84636|0|5BZBJ0440+2750|15.3|-11.8|1| 0.2000|5|4FGL J0440.8+2749 | 0.63|
04 41 27.4704|+15 04 55.596|3HSPJ044127.5+150455|070.36446|+15.08211|0|5BZBJ0441+1504|17.8|-11.5|1| 0.1090|1|4FGL J0441.5+1505 | 1.26|2WHSPJ044127.4+150454
04 41 39.2400|-10 57 35.100|3HSPJ044139.2-105735|070.41350|-10.95975|1|              |15.6|-12.2|1| 0.1550|1|                  | 0.25|2WHSPJ044139.1-105734
04 42 30.2304|-00 18 29.916|3HSPJ044230.2-001829|070.62596|-00.30831|0|5BZBJ0442-0018|16.3|-12.1|1| 0.4490|1|                  | 0.32|2WHSPJ044230.1-001829
04 42 40.6512|+61 40 39.684|3HSPJ044240.7+614039|070.66938|+61.67769|0|              |17.0|-11.8|2| 0.1800|5|4FGL J0442.7+6142 | 0.63|2WHSPJ044240.6+614039
04 43 28.3992|-41 51 56.088|3HSPJ044328.4-415156|070.86833|-41.86558|0|              |16.9|-11.3|1| 0.3000|4|4FGL J0443.4-4152 | 2.00|2WHSPJ044328.3-415156
04 44 58.3800|-58 36 30.708|3HSPJ044458.4-583630|071.24325|-58.60853|1|              |15.9|-12.6|1| 0.3600|5|                  | 0.10|2WHSPJ044458.3-583629
04 46 27.1992|-43 46 32.700|3HSPJ044627.2-434632|071.61333|-43.77575|2|              |15.2|-12.0|1|       | |                  | 0.40|2WHSPJ044627.1-434632
04 47 57.9600|-35 49 38.100|3HSPJ044758.0-354938|071.99150|-35.82725|0|              |16.8|-12.4|1| 0.6000|5|                  | 0.16|2WHSPJ044757.9-354937
04 48 37.6104|-16 32 43.116|3HSPJ044837.6-163243|072.15671|-16.54531|0|5BZBJ0448-1632|17.1|-11.5|1| 0.3500|2|4FGL J0448.6-1632 | 1.26|2WHSPJ044837.6-163243
